Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
,Näyttelijä Nakamura Denzo (?) näytelmässä Azumakagami Soga no sewagoto (Sogan suvun historia),,graphics,,,,,,,1857
Jonathan Moorhouse,,,painting,,2015,,,,,1958
,"Näyttelijät Kamezo, Onoe Kikugoro IV ja Ichikawa Kodanji IV näytelmässä Sugawara denju tenarai-kagami (Kaunokirjoitusta Sugawaran oppien mukaan)",,graphics,,,,,,,1857
,Näyttelijät Nakamura Fukusuke ja Kataoka Ichizo näytelmässä Futatsu cho-cho (Kaksi perhosta),,graphics,,,,,,,1857
Tuulikki Pietilä,Opintomatkalla,,graphics,,,,1917,2009,,1945
Tuulikki Pietilä,Kesäyö Kainuussa,,graphics,,,,1917,2009,,1945
Robert Wilhelm Ekman,"Kristus ristillä kolmen ryövärin ympäröimänä, triptyykki",,graphics,,,,1808,1873,,
Olaf Isaachsen,Surevia arkun äärellä,,painting,,,,1835,1893,,1862
Robert Wilhelm Ekman,"Luonnos maalaukseen ""England, som i en sjömans gestalt giver Bibeln åt det italienska folket, medan påven försöker hindra det""",,graphics,,,,1808,1873,,
Adolf von Becker,Mies itämaisessa puvussa,,painting,,,,1831,1909,,
Tuulikki Pietilä,Pakolaisia härkävaunussa,,graphics,,,,1917,2009,,1945
,"Näyttelijät Iwai Kumesaburo, Iwai Hanshiro VII ja Onoe Kikugoro III näytelmässä Kagamiyama kokyo no nishikie (Vanha värikuva Kagami-vuoresta)",,graphics,,,,,,,1829
Johan Knutson,"Sundin kirkko, kuvitusta teokseen Finland framställdt i teckningar, vihkot XVIII ja XIX",,graphics,,,,1816,1899,,1848
Tuulikki Pietilä,Työnhaluiset,,graphics,,,,1917,2009,,1934
Tuulikki Pietilä,Tie (Bornholm),,graphics,,,,1917,2009,,1948
Mikko Oinonen,Omakuva,,graphics,,,,1883,1956,,1907
Tuulikki Pietilä,Asetelma,,graphics,,,,1917,2009,,1954
Tuulikki Pietilä,Linnoitus antautuu,,graphics,,,,1917,2009,,1948
Tuulikki Pietilä,Turun tuomiokirkko,,graphics,,,,1917,2009,,1935
Tuulikki Pietilä,Tsasouna,,graphics,,,,1917,2009,,1944
Tuulikki Pietilä,Myllyn sisäkuva,,graphics,,,,1917,2009,,1955
Albert Edelfelt,Ord och Bild -teoksen otsikkolehden luonnos,,graphics,,1935,,1854,1905,,
Hugo Simberg,Kaksoset,,painting,,,,1873,1917,,1896
Tuulikki Pietilä,Maljakko I,,graphics,,,,1917,2009,,1962
,"Kohtaus kabuki-näytelmästä, kaksi onnagata näyttelijää",,graphics,,,,,,,1850
,Näyttelijät Ichikawa Dannosuke ja Iwai Kumesaburo näytelmässä Date kurabe O-Kuni kabuki (Tanssinäytelmä Daten sukuriidasta),,graphics,,,,,,,1861
,"Näyttelijät Ichikawa Danjuro VIII, Ichikawa Kodanji IV ja Onoe Baiko näytelmässä Hachiman matsuri (Hachiman-pyhäkön juhla)",,graphics,,,,,,,1853
Reino Hietanen,Kulku,,graphics,,,,1932,,,1992
Carl Larsson,Istuva alaston nainen,,graphics,,,,1853,1919,,1911
Reino Hietanen,Peili,,graphics,,,,1932,,,1985
Carl Eneas Sjöstrand,Luonnos Kuoleva soturi -aiheista kuvaelmaa varten,,graphics,,,,1828,1906,,1866
Tuulikki Pietilä,"""Le Pirate""",,graphics,,,,1917,2009,,1962
Tuulikki Pietilä,Korpilahden kirkonkylää,,graphics,,,,1917,2009,,1961
Tuulikki Pietilä,Labyrinttipuu (A),,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Fantasioita V,,graphics,,,,1917,2009,,1955
Robert Wilhelm Ekman,"Luonnos maalaukseen ""England, som i en sjömans gestalt giver bibeln åt det italienska folket, medan påven försöker hindra det""",,graphics,,,,1808,1873,,
Topi Vikstedt,"""Nummisuutarien"" kuvitusta, kuva siv. 159, Esko ja kraatari Antres tapaavat maantiellä Sakerin,",,graphics,,,,1891,1930,,
Tuulikki Pietilä,Perhe,,graphics,,,,1917,2009,,1955
Tuulikki Pietilä,Korpilahdelta II,,graphics,,,,1917,2009,,1955
Tuulikki Pietilä,Valencia (Costa Blanca),,graphics,,,,1917,2009,,1955
Berndt Abraham Godenhjelm,"Getsemanen rukous, Kymin kirkon alttaritaulun luonnos",,painting,,1913,,1799,1881,,1852
Tuulikki Pietilä,Helsinkiläispiha I,,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Maisema Pyreneiltä,,graphics,,,,1917,2009,,1955
Tuulikki Pietilä,Sarastus (sarjasta Toiset maailmat),,graphics,,,,1917,2009,,1968
Tuulikki Pietilä,Kolme hahmotutkielmaa,,graphics,,,,1917,2009,,1963
Carl Eneas Sjöstrand,Luonnos Ilmarinen takoo sampoa -aiheista reliefiä varten,,graphics,,,,1828,1906,,1870
Berndt Abraham Godenhjelm,Kaksi istuvaa naista ja heidän jalkojensa vieressä makaava koira,,graphics,,1913,,1799,1881,,
Topi Vikstedt,"""Nummisuutarien"" kuvitusta, kuva siv. 167, Topiaksen talo, Viidennen näytöksen alkuvignetti",,graphics,,,,1891,1930,,
Albert Edelfelt,"Harjoitelmia: muotokuva naisesta, alaston tyttö ojennetuin käsivarsin",,graphics,,1935,,1854,1905,,
Carl Eneas Sjöstrand,Venus,,graphics,,,,1828,1906,,1860
Tuulikki Pietilä,Helsinkiläispiha I,,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Picadoreja I,,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Muuri ja villiviini,,graphics,,,,1917,2009,,1966
Eero Järnefelt,Lukeva tyttö,,painting,,,,1863,1937,,1909
Pentti Kaskipuro,Perunalautanen,,graphics,,,,1930,2010,,1992
Carl Eneas Sjöstrand,Epätoivo,,graphics,,,,1828,1906,,1878
Juhana Blomstedt,Minneapolis III,,graphics,,,,1937,2010,,1972
Albert Edelfelt,Käsiinsä nojautuva istuva nainen,,graphics,,1935,,1854,1905,,
Tuulikki Pietilä,Ulkosaaristo - Sund,,graphics,,,,1917,2009,,1980
Carl Eneas Sjöstrand,Luonnos Väinämöisen soitto -friisiä varten,,graphics,,,,1828,1906,,1858
Tuulikki Pietilä,Lohkareita (sarjasta Kivijumalat),,graphics,,,,1917,2009,,1967
Tuulikki Pietilä,Kauna,,graphics,,,,1917,2009,,1964
Hugo Simberg,Nuottakota,,painting,,,,1873,1917,,1895
Albert Edelfelt,Luonnos teokseen Finland i bilder,,graphics,,1935,,1854,1905,,
Tuulikki Pietilä,Ruukkukauppiaat (Napoli),,graphics,,,,1917,2009,,1957
Tuulikki Pietilä,Veneenrakentajat III (Kalastajat),,graphics,,,,1917,2009,,1962
Tuulikki Pietilä,Pelästyneet linnut,,graphics,,,,1917,2009,,1963
Berndt Abraham Godenhjelm,Harjoitelma teokseen Väinämöisen ja Joukahaisen tapaaminen,,graphics,,1913,,1799,1881,,
Tuulikki Pietilä,Pieni kaupunkifantasia,,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Variaatio teemasta I E,,graphics,,,,1917,2009,,1957
Berndt Abraham Godenhjelm,"Kolme figuuriharjoitelmaa, alaston nuorukainen, kuningas kirja kädessään sekä kuningatar kruunuineen, miekkoineen ja palmunoksineen.",,graphics,,1913,,1799,1881,,
Tuulikki Pietilä,Katu Sevillassa,,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Rankentajia II,,graphics,,,,1917,2009,,1955
Tuulikki Pietilä,Taitoratsastajatar,,graphics,,,,1917,2009,,1961
Tapani Raittila,Kolme sulotarta,,graphics,,,,1921,2018,,1996
Tuulikki Pietilä,Tuulta purjeisiin,,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Pakkasaamu Helsingissä,,graphics,,,,1917,2009,,1964
Adolf von Becker,Kaksi lasta leikkimässä koiran kanssa,,graphics,,,,1831,1909,,
Ina Colliander,Äiti ja lapsi,,graphics,,,,1905,1985,,1970
Reino Hietanen,nimetön,,graphics,,,,1932,,,1978
Albert Engström,"Suutari Lökbergin vaimon hautajaisten jälkeen, pilapiirros",,graphics,,,,1869,1940,,
Tuulikki Pietilä,Härkä,,graphics,,,,1917,2009,,1957
Tuulikki Pietilä,Vapaamuotoista,,graphics,,,,1917,2009,,1966
Berndt Abraham Godenhjelm,"Kristus siunaa polvistuneen miehen, ja Maria aikoo laskea nauhan hänen olkapäilleen",,graphics,,1913,,1799,1881,,
Carl Eneas Sjöstrand,Kaksi riitelevää puttoa,,graphics,,,,1828,1906,,
Tuulikki Pietilä,Tuulinen päivä Mykonoksella,,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Palava metsä (C),,graphics,,,,1917,2009,,1963
Berndt Abraham Godenhjelm,Neljä enkelilasta,,graphics,,1913,,1799,1881,,
Reino Hietanen,Hyvää Joulua,,painting,,,,1932,,,1987
Carl Eneas Sjöstrand,"Aihe ilmeisesti Raamatusta tai antiikista, vanha mies",,graphics,,,,1828,1906,,
Tuulikki Pietilä,Hanurinsoittaja,,graphics,,,,1917,2009,,1957
Tuulikki Pietilä,Kolme klovnia I,,graphics,,,,1917,2009,,1961
Tuulikki Pietilä,Rakennustyöläisiä,,graphics,,,,1917,2009,,1955
Tuulikki Pietilä,Pesijättäret,,graphics,,,,1917,2009,,1957
Carl Eneas Sjöstrand,Soutajanainen,,graphics,,,,1828,1906,,1857
Tuulikki Pietilä,Tajo-joen laakso,,graphics,,,,1917,2009,,1961
Tuulikki Pietilä,Positano,,graphics,,,,1917,2009,,1961
Tuulikki Pietilä,Kallioseinä,,graphics,,,,1917,2009,,1961
Tuulikki Pietilä,Toledon torilta,,graphics,,,,1917,2009,,1961
Tapani Raittila,Kolme sulotarta,,graphics,,,,1921,2018,,1996
Tapani Raittila,"luonnos, seisova mies",,graphics,,,,1921,2018,,1992
Tapani Raittila,"luonnos, istuva mies",,graphics,,,,1921,2018,,1992
Pentti Kaskipuro,Lepäävä kissa ja kala,,graphics,,,,1930,2010,,1995
Inari Krohn,Puita,,graphics,,,,1945,,,1998
Robert Wilhelm Ekman,Istuva nainen naisten ja lasten ympäröimänä,,graphics,,,,1808,1873,,
Tuulikki Pietilä,Madonna ja pyhimyksiä (neljän kuvan kokonaisuus),,graphics,,,,1917,2009,,1948
